State,Abbreviation,Region,Biomass,Geothermal,Solar,Wind,Hydro,HPS,Coal,Petroleum,Gas,Nuclear,Other
Alabama,AL,Southeast,3291196,0,0,0,11753493,0,55659872,163054,32369863,39716204,7137
Alaska,AK,Alaska,4255,0,0,3062,1204550,0,566822,1191884,3571101,0,0
Arizona,AZ,West,159646,0,13759,9555,6348463,169480,39783826,67337,34852150,30661851,534
Arkansas,AR,Southeast,1478310,0,0,0,4195168,100365,25075250,87674,11368417,15169966,24019
California,CA,California,6062630,13022836,611763,5764637,27707085,144453,1948279,1638019,115749546,31734676,440323
Colorado,CO,West,50528,0,16530,2942133,2058215,-108658,31641090,15552,13802364,0,33633
Connecticut,CT,New England,753801,0,0,0,623123,5385,2453497,288349,9678195,16657387,712522
Delaware,DE,Mid Atlantic,138302,0,0,0,0,0,2910909,268773,1686773,0,5877
District of Columbia,DC,Mid Atlantic,0,0,0,0,0,0,0,35499,0,0,0
Florida,FL,Florida,4237764,0,10225,0,244526,0,54052312,8962843,117733704,29336059,2576795
Georgia,GA,Southeast,2931302,0,0,0,3055512,271988,69524670,644996,20301025,31682579,26648
Hawaii,HI,Hawaii,294674,167591,25,213224,92855,0,1521169,8288819,40378,0,166284
Idaho,ID,West,477948,107079,0,227028,9506510,0,72994,124,1549875,0,0
Illinois,IL,Mid Atlantic,752801,0,0,2761152,161280,0,90949011,110882,4364445,94050482,64293
Indiana,IN,Mid Atlantic,263428,0,0,1403192,520261,0,108590677,154666,5390611,0,344927
Iowa,IA,Midwest,175258,0,0,7331391,737337,0,37491842,92859,1140568,4678931,40
Kansas,KS,Heartland,0,0,0,2385107,12366,0,32242988,124354,2611084,8768548,0
Kentucky,KY,Southeast,380464,0,0,0,3353205,0,84379768,2028175,843725,0,12629
Louisiana,LA,Southeast,2493390,0,0,0,1236351,0,23075071,1815819,45313617,16782077,390454
Maine,ME,New England,3637795,0,0,260121,4588721,0,72386,480670,7481945,0,352154
Maryland,MD,Mid Atlantic,539982,0,0,0,1948148,0,24414551,346732,2070846,14550119,255891
Massachusetts,MA,New England,1259419,0,67,3798,1276194,-533636,9896296,864489,21242542,5396021,770712
Michigan,MI,Midwest,2250155,0,0,289188,1320648,-856864,67822266,379469,8244775,21851009,341304
Minnesota,MN,Midwest,1543617,0,0,4956987,695633,0,30091455,60295,2559675,12393425,340463
Mississippi,MS,Southeast,1397118,0,0,0,0,0,12970797,17028,23380703,10998515,5206
Missouri,MO,Southeast,56857,0,0,498515,1914728,566713,71848215,86777,3400527,10247116,27422
Montana,MT,West,100425,0,0,810815,9141899,0,15164571,489689,81800,0,110308
Nebraska,NE,Midwest,60163,0,0,288681,401434,0,23427525,24899,332467,9435142,0
Nevada,NV,West,890,1616677,150858,0,2446365,0,7507244,17727,26080001,0,0
New Hampshire,NH,New England,1089623,0,0,28466,1580928,0,2885668,171818,5352728,8816673,59854
New Jersey,NJ,Mid Atlantic,914529,0,2438,19150,37117,0,5345449,304336,21037564,34327954,513761
New Mexico,NM,West,17433,0,0,1543715,300873,0,29084699,43480,8759510,0,4371
New York,NY,New York,2081064,0,0,2258904,28317958,-480387,13152552,2717386,42954141,43484614,989616
North Carolina,NC,Southeast,2019959,0,2322,0,4921505,43077,65853978,287979,4926167,40847711,90997
North Dakota,ND,Midwest,8453,0,0,2756289,1475251,0,29812959,48076,757,0,838
Ohio,OH,Mid Atlantic,599703,0,0,15474,498109,0,113824221,1311952,4747936,14937336,14388
Oklahoma,OK,Heartland,192385,0,0,2271590,3762026,-116831,34200892,19609,34915888,0,0
Oregon,OR,West,751004,0,0,3372284,32717791,0,3196902,5657,15776934,0,41248
Pennsylvania,PA,Mid Atlantic,2143017,0,0,921137,2820836,-560345,104927415,930953,29623748,76727686,842542
Rhode Island,RI,New England,152776,0,0,0,6135,0,0,16262,7553278,0,0
South Carolina,SC,Southeast,1733561,0,0,0,2102247,-976443,35157227,523380,9402119,52149734,105354
South Dakota,SD,Midwest,5775,0,0,392308,4319205,0,3190913,10089,122133,0,31318
Tennessee,TN,Southeast,896431,0,0,51747,9482290,-649832,41634519,178151,410411,26962001,788
Texas,TX,Texas,1382743,0,0,19367239,1501345,0,139106597,1347315,191652532,41497617,621766
Utah,UT,West,29266,279121,0,64497,696991,0,35715484,50180,6424511,0,186748
Vermont,VT,New England,373143,0,0,11589,1663593,0,0,3577,4431,5360608,0
Virginia,VA,Mid Atlantic,2465738,0,0,0,1414565,-1215619,26539392,1110821,12204843,28212252,427691
Washington,WA,West,1437051,0,0,3538936,73932815,52383,7477773,47275,11409482,6634014,63675
West Virginia,WV,Mid Atlantic,0,0,0,742439,1576275,0,68135764,170674,149347,0,422
Wisconsin,WI,Midwest,1251837,0,0,1059126,1605407,0,38330917,730117,5601116,12683151,72992
Wyoming,WY,West,0,0,0,2213820,853609,0,41756839,50087,803579,0,0
